"homeTeam.href","homeTeam.text","awayTeam.href","awayTeam.text","homeScore","awayScore"
"http://www.basketball-reference.com/teams/POR/2015.html","Portland Trail Blazers","http://www.basketball-reference.com/teams/MIN/2015.html","Minnesota Timberwolves","113","121"
"http://www.basketball-reference.com/teams/MEM/2015.html","Memphis Grizzlies","http://www.basketball-reference.com/teams/NOP/2015.html","New Orleans Pelicans","89","95"
"http://www.basketball-reference.com/teams/IND/2015.html","Indiana Pacers","http://www.basketball-reference.com/teams/NYK/2015.html","New York Knicks","92","86"
"http://www.basketball-reference.com/teams/ATL/2015.html","Atlanta Hawks","http://www.basketball-reference.com/teams/PHI/2015.html","Philadelphia 76ers","84","92"
"http://www.basketball-reference.com/teams/UTA/2015.html","Utah Jazz","http://www.basketball-reference.com/teams/BRK/2015.html","Brooklyn Nets","95","88"
"http://www.basketball-reference.com/teams/CHO/2015.html","Charlotte Hornets","http://www.basketball-reference.com/teams/DET/2015.html","Detroit Pistons","108","101"
"http://www.basketball-reference.com/teams/LAC/2015.html","Los Angeles Clippers","http://www.basketball-reference.com/teams/GSW/2015.html","Golden State Warriors","98","106"
"http://www.basketball-reference.com/teams/DAL/2015.html","Dallas Mavericks","http://www.basketball-reference.com/teams/LAL/2015.html","Los Angeles Lakers","100","93"
"http://www.basketball-reference.com/teams/TOR/2015.html","Toronto Raptors","http://www.basketball-reference.com/teams/OKC/2015.html","Oklahoma City Thunder","104","108"
"http://www.basketball-reference.com/teams/BOS/2015.html","Boston Celtics","http://www.basketball-reference.com/teams/ORL/2015.html","Orlando Magic","98","103"
"http://www.basketball-reference.com/teams/CHI/2015.html","Chicago Bulls","http://www.basketball-reference.com/teams/SAS/2015.html","San Antonio Spurs","105","116"
"http://www.basketball-reference.com/teams/SAC/2015.html","Sacramento Kings","http://www.basketball-reference.com/teams/ATL/2015.html","Atlanta Hawks","105","130"
"http://www.basketball-reference.com/teams/MEM/2015.html","Memphis Grizzlies","http://www.basketball-reference.com/teams/CHI/2015.html","Chicago Bulls","101","91"
"http://www.basketball-reference.com/teams/WAS/2015.html","Washington Wizards","http://www.basketball-reference.com/teams/CHO/2015.html","Charlotte Hornets","95","69"
"http://www.basketball-reference.com/teams/NYK/2015.html","New York Knicks","http://www.basketball-reference.com/teams/DEN/2015.html","Denver Nuggets","78","106"
"http://www.basketball-reference.com/teams/MIN/2015.html","Minnesota Timberwolves","http://www.basketball-reference.com/teams/LAC/2015.html","Los Angeles Clippers","76","89"
"http://www.basketball-reference.com/teams/BOS/2015.html","Boston Celtics","http://www.basketball-reference.com/teams/MIA/2015.html","Miami Heat","100","90"
"http://www.basketball-reference.com/teams/NOP/2015.html","New Orleans Pelicans","http://www.basketball-reference.com/teams/MIL/2015.html","Milwaukee Bucks","114","103"
"http://www.basketball-reference.com/teams/GSW/2015.html","Golden State Warriors","http://www.basketball-reference.com/teams/PHO/2015.html","Phoenix Suns","98","80"
"http://www.basketball-reference.com/teams/NOP/2015.html","New Orleans Pelicans","http://www.basketball-reference.com/teams/BRK/2015.html","Brooklyn Nets","111","91"
"http://www.basketball-reference.com/teams/CLE/2015.html","Cleveland Cavaliers","http://www.basketball-reference.com/teams/DAL/2015.html","Dallas Mavericks","127","94"
"http://www.basketball-reference.com/teams/ORL/2015.html","Orlando Magic","http://www.basketball-reference.com/teams/IND/2015.html","Indiana Pacers","86","118"
"http://www.basketball-reference.com/teams/DET/2015.html","Detroit Pistons","http://www.basketball-reference.com/teams/LAL/2015.html","Los Angeles Lakers","85","93"
"http://www.basketball-reference.com/teams/TOR/2015.html","Toronto Raptors","http://www.basketball-reference.com/teams/SAS/2015.html","San Antonio Spurs","107","117"
"http://www.basketball-reference.com/teams/NYK/2015.html","New York Knicks","http://www.basketball-reference.com/teams/UTA/2015.html","Utah Jazz","82","87"
"http://www.basketball-reference.com/teams/MEM/2015.html","Memphis Grizzlies","http://www.basketball-reference.com/teams/BOS/2015.html","Boston Celtics","92","95"
"http://www.basketball-reference.com/teams/SAC/2015.html","Sacramento Kings","http://www.basketball-reference.com/teams/CHO/2015.html","Charlotte Hornets","113","106"
"http://www.basketball-reference.com/teams/ATL/2015.html","Atlanta Hawks","http://www.basketball-reference.com/teams/DEN/2015.html","Denver Nuggets","102","115"
"http://www.basketball-reference.com/teams/DET/2015.html","Detroit Pistons","http://www.basketball-reference.com/teams/GSW/2015.html","Golden State Warriors","98","105"
"http://www.basketball-reference.com/teams/BRK/2015.html","Brooklyn Nets","http://www.basketball-reference.com/teams/MIA/2015.html","Miami Heat","98","104"
"http://www.basketball-reference.com/teams/ORL/2015.html","Orlando Magic","http://www.basketball-reference.com/teams/MIL/2015.html","Milwaukee Bucks","91","97"
"http://www.basketball-reference.com/teams/LAC/2015.html","Los Angeles Clippers","http://www.basketball-reference.com/teams/OKC/2015.html","Oklahoma City Thunder","120","108"
